Image X[Pixel],Image Y[Pixel],Horizontal Displacement U[Pixel],Vertical Displacement V[Pixel],Correlation Coefficient: R,Sigma,Strain-global frame: Exx,Strain-global frame: Eyy,Strain-global frame: Exy,Maximum Principal Strain: EI,Minimum Principal Strain: EII,Shear Angle Gamma,Von Mises Equivalent Strain,
1000,660,0.669618,-11.203920,0.999996,0.000242,-0.004420,0.007664,-0.001575,0.007866,-0.004622,-82.695395,0.007906,
960,200,0.295225,-14.163917,0.999998,0.000196,-0.001662,0.005778,0.000450,0.005805,-0.001689,86.548367,0.005972,
910,1790,0.501089,-1.398121,0.999997,0.000201,-0.002049,0.006386,-0.000369,0.006402,-0.002065,-87.498657,0.006535,
1040,1280,0.649730,-4.629677,0.999996,0.000253,-0.005471,0.008543,0.002238,0.008892,-0.005820,81.144242,0.009032,
900,1080,2.126305,-7.119066,0.999997,0.000234,-0.003011,0.008465,-0.000736,0.008512,-0.003058,-86.347380,0.008624,
1090,750,0.362787,-11.040208,0.999996,0.000245,-0.004284,0.006536,-0.002947,0.007287,-0.005034,-75.708829,0.007462,
1140,740,0.174549,-11.423427,0.999997,0.000238,-0.002848,0.004606,-0.002716,0.005491,-0.003733,-71.961085,0.005608,
1030,370,0.370310,-13.223060,0.999998,0.000191,-0.002244,0.006140,-0.000283,0.006149,-0.002254,-88.071161,0.006222,
620,900,2.917819,-8.420217,0.999997,0.000203,-0.003312,0.006784,0.000337,0.006795,-0.003323,88.092575,0.006796,
1190,1430,0.073075,-3.036543,0.999998,0.000162,-0.001912,0.004390,0.000706,0.004468,-0.001990,83.689238,0.004477,
1240,1840,-0.008302,-0.926182,0.999998,0.000149,-0.001029,0.005021,-0.000022,0.005021,-0.001029,-89.787644,0.005305,
940,1500,0.803330,-3.331731,0.999997,0.000193,-0.003830,0.007453,0.000883,0.007522,-0.003898,85.554627,0.007524,
620,880,2.884869,-8.557511,0.999997,0.000205,-0.003391,0.006917,0.000383,0.006932,-0.003405,87.873857,0.006932,
1810,2010,-0.168624,-0.166601,0.999997,0.000218,-0.000955,0.006643,0.002735,0.007525,-0.001837,72.126162,0.007846,
800,1400,1.582982,-4.519016,0.999996,0.000226,-0.004420,0.008215,-0.000026,0.008216,-0.004420,-89.881633,0.008223,
1050,1110,1.434620,-6.223478,0.999988,0.000434,-0.005120,0.012276,0.003781,0.013062,-0.005907,78.252720,0.013082,
760,800,2.157375,-9.322471,0.999997,0.000212,-0.004166,0.008091,0.000761,0.008138,-0.004213,86.462242,0.008140,
1040,1320,0.577156,-4.301884,0.999996,0.000246,-0.004939,0.007900,0.002294,0.008298,-0.005336,80.169429,0.008410,
840,1800,0.650419,-1.423641,0.999997,0.000204,-0.002411,0.006768,-0.000569,0.006803,-0.002446,-86.468573,0.006892,
1710,790,-2.157711,-9.393058,0.999997,0.000209,-0.004177,0.008092,-0.000730,0.008136,-0.004221,-86.607707,0.008138,
1750,1190,-2.515268,-6.358405,0.999997,0.000214,-0.003707,0.007557,0.000768,0.007609,-0.003759,86.117705,0.007610,
1140,720,0.176570,-11.513048,0.999997,0.000206,-0.002708,0.004681,-0.002462,0.005427,-0.003453,-73.158005,0.005493,
1670,410,-1.120095,-12.498770,0.999998,0.000201,-0.003517,0.007462,0.000137,0.007464,-0.003519,89.284867,0.007468,
1030,350,0.353444,-13.344742,0.999997,0.000212,-0.002180,0.005958,-0.000286,0.005968,-0.002190,-87.988441,0.006038,
1090,770,0.386533,-10.905299,0.999996,0.000252,-0.004540,0.006787,-0.003078,0.007569,-0.005322,-75.740494,0.007775,
1190,1470,0.078611,-2.856595,0.999998,0.000192,-0.001919,0.004762,0.000490,0.004798,-0.001954,85.825110,0.004825,
660,1260,2.537012,-5.893670,0.999997,0.000226,-0.003765,0.007530,-0.000608,0.007563,-0.003798,-86.929447,0.007563,
1510,30,-0.021228,-15.067310,0.999998,0.000000,-0.000216,0.004868,-0.000664,0.004953,-0.000301,-82.684009,0.005553,
1620,1900,-0.377061,-0.765529,0.999998,0.000190,-0.001534,0.006226,0.001112,0.006382,-0.001690,82.006367,0.006613,
900,1060,2.164956,-7.288150,0.999997,0.000236,-0.002832,0.008395,-0.000481,0.008416,-0.002852,-87.550222,0.008560,
560,1210,3.004141,-6.420653,0.999998,0.000000,-0.003273,0.006819,-0.000068,0.006819,-0.003274,-89.611608,0.006821,
1360,1820,-0.141984,-1.059363,0.999998,0.000160,-0.001194,0.005330,0.000108,0.005332,-0.001195,89.051756,0.005596,
1840,100,-0.619383,-14.469133,0.999996,0.000221,-0.003512,0.007932,-0.001531,0.008133,-0.003714,-82.510070,0.008144,
1790,1610,-1.636119,-3.172885,0.999997,0.000204,-0.003778,0.007580,-0.000126,0.007581,-0.003779,-89.365085,0.007581,
940,1480,0.829739,-3.484379,0.999997,0.000179,-0.004007,0.007562,0.000939,0.007638,-0.004083,85.390233,0.007644,
1410,1590,-0.377651,-2.437007,0.999997,0.000206,-0.002515,0.006075,-0.000720,0.006135,-0.002575,-85.240824,0.006161,
870,1370,1.332274,-4.591856,0.999996,0.000224,-0.004801,0.008561,0.000246,0.008565,-0.004805,88.945471,0.008586,
620,860,2.839956,-8.697470,0.999997,0.000181,-0.003462,0.007087,0.000499,0.007111,-0.003486,87.299140,0.007111,
1260,1400,-0.046795,-3.149596,0.999998,0.000146,-0.001759,0.003980,-0.000581,0.004038,-0.001817,-84.277956,0.004045,
870,1350,1.380977,-4.765341,0.999997,0.000220,-0.004889,0.008633,0.000130,0.008634,-0.004890,89.448064,0.008659,
1310,1770,-0.100191,-1.299494,0.999998,0.000171,-0.001317,0.005322,-0.000017,0.005322,-0.001317,-89.852883,0.005544,
1540,1160,-1.772747,-6.369659,0.999997,0.000201,-0.004498,0.009424,0.001015,0.009498,-0.004571,85.852746,0.009500,
790,590,1.479132,-11.103758,0.999995,0.000246,-0.004206,0.007910,-0.000152,0.007912,-0.004208,-89.282433,0.007917,
760,1000,2.580096,-7.767039,0.999997,0.000211,-0.003161,0.007433,0.000267,0.007439,-0.003168,88.554923,0.007466,
1350,1180,-0.744477,-4.622540,0.999996,0.000243,-0.002372,0.004564,-0.003153,0.005783,-0.003591,-68.861239,0.005840,
1580,1560,-0.942572,-3.041039,0.999997,0.000210,-0.003713,0.007406,-0.000540,0.007432,-0.003739,-87.224522,0.007432,
1500,780,-1.098595,-10.004946,0.999996,0.000256,-0.005644,0.009376,0.000645,0.009403,-0.005672,87.543842,0.009470,
1460,340,-0.404330,-13.367503,0.999997,0.000195,-0.002060,0.006065,0.000087,0.006066,-0.002061,89.383955,0.006169,
1810,300,-1.364722,-13.000718,0.999996,0.000249,-0.003600,0.007593,-0.000183,0.007596,-0.003603,-89.064030,0.007599,
1170,1950,0.022863,-0.391161,0.999998,0.000189,-0.000317,0.004731,-0.000133,0.004734,-0.000321,-88.497438,0.005291,
1710,990,-2.596831,-7.838639,0.999997,0.000222,-0.003187,0.007378,-0.000256,0.007384,-0.003194,-88.611458,0.007406,
